Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
3/19/2014,18,0,18,63,9,15,13,48,12,10,15,28,28,12,18,25,21,11,10,40,10,10,12,17,19,10,49,20,24,28,20,28,14,16,0,23,0,15,12,0,20,0,14,6,14,54,17,9,29,10,100
3/20/2014,47,100,22,60,18,22,57,93,46,11,17,0,90,16,35,48,19,43,28,56,46,26,21,21,35,19,90,38,44,52,23,0,24,42,0,35,22,23,16,0,57,0,23,15,51,0,27,14,56,39,0
3/21/2014,26,100,32,42,12,28,0,0,39,15,17,0,55,13,31,34,19,0,38,0,24,14,24,27,35,12,93,38,0,0,14,0,15,15,0,21,21,0,16,62,39,0,29,16,0,0,7,8,56,33,0
3/22/2014,24,0,16,40,7,17,23,0,27,7,8,45,0,9,13,39,32,19,17,0,39,12,12,29,31,15,0,69,0,0,18,100,10,11,0,19,0,17,11,54,35,0,10,13,25,0,12,18,0,12,0
3/23/2014,41,0,6,24,8,11,22,49,14,8,9,28,31,8,8,15,14,16,10,29,16,11,7,17,30,10,0,100,0,0,21,0,9,5,58,15,14,10,10,31,10,0,12,10,14,0,13,7,56,12,0
3/24/2014,29,0,15,39,9,10,26,52,27,9,18,31,33,15,34,38,21,24,11,32,19,9,11,22,53,13,53,45,0,59,31,0,12,17,63,17,12,22,21,36,24,0,19,8,30,0,11,10,31,20,100
3/25/2014,23,0,28,41,12,19,48,0,31,16,40,48,78,28,54,30,17,37,23,49,30,15,32,47,46,30,83,35,19,92,31,0,17,27,100,31,18,32,23,53,33,0,15,18,35,92,15,23,49,51,0
3/26/2014,7,0,12,0,5,4,18,100,9,5,9,15,0,8,14,6,15,19,8,31,3,6,9,15,27,8,0,0,0,21,13,29,4,12,0,9,12,10,9,17,9,0,7,7,7,29,5,5,16,13,49
3/27/2014,12,48,13,0,7,7,15,0,28,6,6,37,28,7,22,11,16,11,10,28,13,10,8,13,23,16,44,46,0,25,16,41,9,17,0,19,25,14,14,30,27,0,7,10,50,100,14,19,28,16,0
3/28/2014,18,0,10,0,5,5,9,0,12,4,6,48,27,5,7,11,9,11,13,0,20,7,13,5,22,19,45,28,0,0,6,38,6,12,0,16,15,11,11,0,9,0,18,6,26,100,12,17,27,13,0
3/29/2014,0,0,8,19,4,4,22,0,12,5,12,0,0,6,6,9,8,9,0,0,5,6,3,0,13,5,0,33,0,19,9,0,6,9,0,10,17,7,4,0,8,100,13,2,23,42,4,4,0,8,76
3/30/2014,14,58,20,24,9,19,15,0,19,8,18,0,31,9,18,26,11,17,9,46,10,13,6,17,28,13,53,22,12,27,23,58,12,10,56,17,0,10,10,64,22,64,16,8,31,0,10,12,47,15,100
3/31/2014,22,0,16,20,10,12,27,48,11,7,16,26,40,13,19,24,10,18,8,0,9,10,15,20,41,16,0,18,0,49,23,24,18,14,0,23,10,14,16,0,14,0,11,8,13,100,11,7,31,15,0
4/1/2014,23,62,13,60,11,25,23,100,24,11,13,0,33,19,18,27,18,20,22,35,11,13,15,15,28,15,0,23,0,32,28,0,18,10,0,21,11,9,20,38,15,0,17,16,16,64,13,9,40,21,0
4/2/2014,17,52,0,19,9,18,10,100,14,6,16,25,56,15,23,28,15,18,9,30,9,13,9,11,52,13,48,0,0,53,20,0,15,16,54,16,19,6,19,80,9,0,12,8,13,0,12,9,33,20,0
4/3/2014,0,51,14,49,7,23,24,100,10,8,6,50,28,7,15,35,0,12,19,29,25,11,13,8,51,22,50,19,17,27,7,0,11,4,0,19,10,8,16,0,9,55,17,13,27,57,12,9,34,14,88
4/4/2014,37,0,9,46,6,7,31,0,17,3,12,41,30,5,22,31,11,13,10,63,21,13,7,9,36,14,53,41,12,56,13,42,12,13,0,19,15,6,16,34,10,63,15,8,15,0,4,9,36,15,100
4/5/2014,13,0,18,24,1,17,11,58,13,7,3,29,31,2,15,17,11,0,10,49,11,12,4,6,19,17,0,22,23,28,8,0,10,10,0,11,11,9,14,0,10,0,15,3,0,0,10,5,37,17,100
4/6/2014,38,58,10,96,6,15,23,55,25,8,12,0,32,14,18,17,35,13,21,33,14,13,16,13,26,20,56,45,0,40,19,0,11,18,0,25,11,9,14,36,20,70,13,8,16,65,8,14,0,23,100
4/7/2014,26,0,16,100,9,13,28,0,10,8,11,0,28,13,15,29,30,11,0,0,21,11,4,10,25,14,0,19,17,0,16,26,10,27,0,17,14,6,16,30,17,0,11,13,13,53,9,19,0,29,88
4/8/2014,17,0,14,78,8,10,15,0,19,11,9,25,67,13,18,18,10,23,14,55,17,7,9,15,22,16,46,37,32,0,22,25,10,9,0,24,19,11,16,30,22,0,17,13,20,100,8,7,32,17,81
4/9/2014,40,0,9,100,12,9,23,0,0,6,17,62,68,19,22,18,37,22,0,35,18,17,16,24,63,10,58,47,14,0,16,32,15,8,0,26,12,14,17,76,12,0,15,14,17,0,6,6,0,21,94
4/10/2014,11,0,15,21,7,10,10,100,11,6,9,26,29,10,23,0,21,9,0,59,9,17,8,23,0,6,97,20,0,27,10,0,11,7,0,9,21,14,10,64,21,60,10,8,0,58,6,9,35,6,0
4/11/2014,16,0,7,15,4,14,7,36,17,2,3,17,20,4,8,0,7,9,0,21,7,8,4,10,12,12,100,14,15,0,11,18,5,8,0,6,18,8,10,0,7,44,7,3,10,41,5,3,24,12,0
4/12/2014,24,100,10,0,9,28,43,0,27,8,11,98,0,9,39,61,0,43,21,0,13,30,7,22,0,0,0,38,21,0,38,53,17,22,0,23,20,0,17,0,21,0,13,6,29,0,18,0,0,23,0
4/13/2014,17,0,15,39,7,13,12,0,14,10,11,0,33,16,14,16,11,16,12,34,15,8,10,16,20,11,0,32,0,0,15,31,9,6,0,22,23,13,13,37,18,100,29,9,16,0,14,5,41,14,89
4/14/2014,61,0,18,35,16,24,36,81,33,19,28,0,76,28,57,25,35,29,54,51,41,18,15,38,29,36,86,34,20,71,36,46,19,15,96,43,28,21,32,56,53,100,44,21,34,100,23,14,60,22,0
4/15/2014,33,0,19,23,7,17,23,50,24,14,22,29,33,13,29,16,22,40,23,65,21,21,16,12,19,19,54,43,17,44,21,44,17,8,92,21,24,22,18,35,23,63,15,16,22,0,14,17,38,17,100
4/16/2014,18,45,25,55,6,22,9,0,10,8,15,23,0,11,10,26,18,15,9,78,11,16,14,17,15,10,0,0,10,47,13,23,7,12,0,12,19,10,15,28,12,100,16,9,11,49,17,9,0,9,83
4/17/2014,21,0,18,100,15,21,0,77,43,7,18,0,45,10,23,24,24,41,17,46,31,16,21,17,27,12,0,61,17,84,24,0,10,24,0,13,17,14,24,0,27,0,16,11,41,0,17,20,58,17,0
4/18/2014,34,85,14,57,7,12,24,89,30,7,8,0,49,12,0,27,17,30,0,0,34,15,25,9,29,10,86,34,17,46,29,46,12,15,100,21,18,12,10,0,34,0,15,14,33,0,8,11,0,17,0
4/19/2014,10,0,5,22,5,5,17,0,0,4,4,23,28,9,13,16,10,10,10,0,11,6,8,8,16,8,100,20,15,52,11,26,7,17,0,7,0,7,11,32,14,0,6,4,0,0,13,6,0,10,0
4/20/2014,9,87,11,35,7,7,8,0,10,6,4,21,0,14,6,0,17,13,9,0,8,7,9,9,14,5,0,17,9,23,12,0,6,9,51,11,18,9,12,0,21,0,10,10,17,100,12,5,29,13,79
4/21/2014,17,45,17,23,10,6,25,0,19,10,10,22,36,21,8,12,17,27,18,43,24,11,11,8,24,8,42,17,9,0,11,22,12,10,100,16,9,0,13,28,14,52,17,8,29,50,10,9,44,23,79
4/22/2014,6,31,7,20,5,6,6,29,12,5,9,30,16,9,19,17,9,18,6,19,12,10,11,6,19,8,27,11,9,16,12,0,9,9,100,12,13,8,6,19,11,33,7,5,7,0,6,5,40,11,0
4/23/2014,31,100,23,43,12,16,28,62,21,11,20,33,68,13,31,30,13,22,17,0,25,18,14,13,43,21,59,71,18,34,39,47,13,12,70,30,31,12,22,40,20,71,19,15,16,75,17,16,56,20,0
4/24/2014,49,0,20,31,14,20,37,74,18,6,33,51,40,22,26,33,23,42,22,100,18,14,18,13,52,34,0,48,16,0,24,75,13,22,83,20,40,17,23,0,14,87,22,19,20,90,9,15,46,14,0
