Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
4/11/2014,39,0,8,0,12,25,0,88,20,11,17,41,0,6,26,0,17,15,35,0,21,9,13,19,0,9,81,34,18,46,13,45,6,25,96,6,17,0,12,0,18,0,16,10,24,100,10,8,59,20,0
4/12/2014,19,0,12,0,4,12,0,0,22,9,9,39,0,10,19,24,0,14,34,0,17,6,10,9,0,13,76,0,0,42,6,0,4,22,0,19,26,17,5,0,17,100,32,6,23,0,6,12,58,9,0
4/13/2014,23,0,4,18,6,6,9,43,0,6,11,0,25,7,15,19,17,16,18,50,6,13,6,6,15,0,0,0,10,23,7,0,4,17,94,8,9,5,4,0,27,100,9,6,36,0,7,7,0,10,0
4/14/2014,44,0,18,35,14,18,24,80,20,17,36,93,0,19,45,25,35,53,30,52,30,20,21,14,58,10,83,33,20,0,13,61,12,40,97,18,37,21,15,0,80,99,24,18,34,100,21,24,60,22,0
4/15/2014,26,93,13,36,11,24,18,79,19,11,30,45,52,20,29,25,35,30,37,51,17,18,13,14,29,30,0,34,20,46,20,0,11,42,0,18,19,24,11,55,47,100,37,24,23,0,19,24,0,18,0
4/16/2014,30,0,18,37,10,12,18,55,0,11,13,30,34,12,22,17,24,16,33,34,8,7,19,12,20,11,0,23,13,31,7,31,7,18,0,10,12,13,9,0,37,100,19,11,15,0,8,7,0,22,0
4/17/2014,0,0,0,28,11,10,14,64,14,16,19,100,37,6,0,20,26,21,14,0,21,10,19,14,22,8,0,26,35,0,10,70,7,20,0,7,14,7,17,0,27,78,16,15,0,0,10,11,48,9,0
4/18/2014,17,0,12,37,6,0,18,86,0,8,9,0,48,8,25,27,0,35,18,0,22,13,15,22,28,10,84,33,17,0,6,0,9,9,100,6,18,0,22,0,33,0,10,15,0,0,7,0,61,0,0
4/19/2014,15,0,14,0,6,12,15,0,0,7,9,0,0,10,23,0,14,0,23,45,10,11,8,12,0,8,75,30,14,39,5,0,4,16,90,0,23,7,10,48,14,100,14,4,0,0,4,6,51,13,0
4/20/2014,16,0,22,47,10,12,22,0,27,10,12,0,42,8,37,23,15,24,16,49,0,6,5,14,51,20,74,0,30,0,11,39,8,20,0,7,36,8,7,0,34,100,18,10,0,0,14,13,52,14,0
